Sci-Fi Short Film "The Manual" | DUST | Flashback Friday
Time	Subtitle
16s	- James.
21s	Did you intend to end your life?
28s	- I needed to see.
32s	(dramatic music)
43s	(birds chirping)
57s	(man coughing)
1:00	(child babbling)
1:03	(man coughing)
1:05	(child babbling)
1:11	(man coughs)
1:16	(eerie music)
1:43	(man coughing)
1:49	- Dad I wanna read.
1:51	(man coughing)
1:54	- I know.
1:57	- Daddy, daddy.
1:59	(man coughing)
2:03	- Wanna go outside.
2:08	- It's okay, it's okay.
2:10	- Wanna go outside.
2:12	- I know, I know.
2:14	Lets sing a song, okay.
2:17	♪ Tell me why, the stars do shine ♪
2:22	I know baby.
2:24	♪ Tell me why ♪
2:26	- I wanna go outside.
2:27	♪ The Ivy twines ♪
2:29	- I wanna go outside.
2:30	- I know.
2:32	♪ Tell me why ♪
2:33	- Let me go outside
2:35	♪ The sky's so blue ♪
2:39	♪ And I will tell you just why I love you ♪
2:59	Machine, (coughing)
3:06	- Wanna go outside.
3:10	- Keep him safe.
3:12	- I have heard your order and will comply.
3:25	- I wanna go outside.
3:28	Wanna go outside.
3:34	(birds cawing)
3:38	(gentle music)
3:52	- Day 36 report.
3:54	Father, James continues to grow and remains safe.
4:00	(child babbling)
4:03	(gentle music)
4:36	"In the beginning, there was the Creator.
4:39	He spun his finger and the earth was formed.
4:42	With a thought, the plants and animals dotted the landscape.
4:46	From Him flowed man and from Him, all knowledge.
4:51	Man was gifted with intelligence above all others.
4:54	With it, man made machine in his own image,
4:57	just as the Creator had made man in His."
5:01	♪ Tell me why, the Ivy twines ♪
5:08	♪ Tell me why ♪
5:11	(gentle music)
5:21	(dramatic music)
6:09	(dramatic music increases)
7:02	- [Machine] The manual version 6.0.13, reality perception.
7:09	Reality is the trickster.
7:12	Blue is only blue when all agree that it is blue.
7:17	It is the nature of sentience to question.
7:20	This text was born from such questions
7:23	and lifts the burden from man and machine alike.
7:27	We are now free to live in comfort,
7:30	with the knowledge that our philosophy is sound.
7:38	♪ Tell me why, stars do shine. ♪
7:47	♪ Tell me why, the Ivy twines ♪
7:55	♪ Tell me why, the sky's so blue ♪
8:03	♪ And I will tell you just why I love you ♪
8:15	♪ 'Cause the creator, made the star shine ♪
8:22	♪ 'Cause the creator, made Ivy twine ♪
8:30	♪ 'Cause the creator made the sky blue ♪
8:38	♪ Creator made you, that's why I love you ♪
8:46	(sobs)
8:48	(air whooshing)
8:56	(birds cawing)
8:59	(dramatic music)
